item_id,pedido_id,produto_id,quantidade,preco_unitario,desconto
256,108,50,3,370.91,0.15
257,108,11,3,136.94,0.05
258,108,30,3,97.4,0.15
259,109,14,4,282.41,0.2
260,110,1,3,650.09,0.1
261,110,31,5,186.93,0.2
262,111,60,5,351.21,0.15
263,112,29,4,212.98,
264,112,16,2,470.95,
265,112,29,2,203.51,0.0
266,112,37,3,66.31,
267,113,31,5,171.77,
268,113,57,2,241.06,0.1
269,113,10,1,674.98,0.2
270,114,40,2,657.28,0.15
271,114,10,2,668.85,
272,115,57,3,245.96,0.05
273,115,21,5,661.15,0.1
274,116,47,5,345.12,0.0
275,116,46,2,535.87,0.1
276,116,33,4,687.94,0.1
277,117,42,2,503.97,0.0
278,117,36,1,605.52,0.15
279,118,2,5,45.9,0.1
280,118,52,4,64.2,0.1
281,118,14,2,266.29,0.05
282,119,18,3,577.71,0.1
283,119,13,3,21.67,
284,119,6,4,545.25,0.0
285,120,13,4,21.59,
286,121,25,1,341.87,0.1
287,121,18,2,594.41,0.0
288,121,23,3,547.94,0.15
289,122,19,4,385.79,
290,122,50,4,334.9,0.0
291,122,59,5,782.61,0.0
292,122,30,3,100.8,0.15
293,123,9,2,28.5,0.0
294,124,28,5,273.39,
295,124,34,4,756.2,0.0
296,124,11,4,147.97,
297,124,53,5,300.91,0.2
298,125,31,4,193.9,
299,126,26,2,715.1,0.05
300,127,60,3,393.56,0.15
301,127,49,2,294.72,0.1
302,127,30,2,96.11,
303,128,58,1,110.36,
304,128,23,4,514.43,0.0
305,129,13,2,20.02,
306,129,22,3,591.26,
307,129,20,3,589.86,
308,130,10,1,675.99,0.2
309,131,48,4,490.27,
310,131,57,3,253.56,0.05
311,131,13,5,20.33,
312,132,53,3,315.81,0.1
313,132,53,3,290.17,0.15
314,132,57,4,277.06,0.2
315,132,20,2,527.57,0.1
316,133,22,4,536.43,0.15
317,133,39,5,157.53,0.2
318,133,30,5,90.88,0.0
319,134,49,5,286.98,
320,134,24,5,269.07,0.1
321,135,30,1,102.8,0.1
322,136,56,5,361.87,0.05
323,136,18,3,617.13,0.0
324,136,19,1,415.84,0.1
325,137,34,4,732.66,0.0
326,138,31,1,176.46,0.15
327,138,8,5,200.79,0.15
328,139,44,4,746.08,0.0
329,139,7,4,198.1,0.1
330,139,19,5,369.13,0.15
331,139,9,5,27.55,0.1
332,140,57,4,273.44,0.2
333,140,47,2,397.02,0.05
334,141,21,3,668.83,0.05
335,141,52,3,63.18,0.0
336,142,33,2,650.18,
337,143,14,1,256.34,
338,143,14,4,252.99,0.05
339,143,8,5,188.23,
340,144,30,3,103.28,0.05
341,144,19,5,408.58,0.15
342,145,54,5,276.68,0.0
343,146,41,1,43.67,
344,147,25,4,367.82,0.1
345,148,18,1,599.67,0.0
346,148,21,4,689.01,0.0
347,148,55,2,493.7,0.15
348,148,23,1,519.05,0.0
349,149,55,5,548.31,
350,149,25,5,348.09,0.1
351,149,12,4,118.12,
352,149,32,3,414.21,0.15
353,150,19,2,379.92,
354,150,3,3,508.93,0.15
355,150,21,4,660.51,0.05
356,150,8,3,185.92,
357,151,56,4,345.05,0.1
358,151,4,2,652.09,0.2
359,152,31,1,189.96,0.1
360,152,31,2,175.9,0.2
361,153,1,1,676.11,0.2
362,153,11,3,148.62,0.15
363,153,1,4,638.4,0.0
364,153,16,4,468.47,0.15
365,154,27,3,719.81,
366,154,4,3,623.63,0.1
367,154,26,4,746.41,0.05
368,155,38,4,195.43,0.2
369,156,60,4,339.52,0.05
370,156,21,4,670.53,
371,157,24,5,241.17,0.15
372,157,7,3,222.58,0.2
373,157,42,5,459.23,0.0
374,157,28,1,307.7,0.05
375,158,7,4,201.1,0.0
376,158,26,2,769.96,0.05
377,158,36,5,623.69,0.05
378,158,37,1,64.64,
379,159,45,1,371.53,0.1
380,160,41,3,43.19,0.15
381,160,37,1,62.92,0.0
382,160,54,1,263.45,0.1
383,161,46,2,610.35,
384,162,40,3,708.79,0.2
385,162,53,3,296.56,0.2
386,163,56,1,388.61,0.1
387,163,31,4,173.56,
388,163,4,3,636.13,0.0
389,164,15,1,166.0,0.15
390,164,31,3,197.69,0.0
391,164,46,2,554.89,0.1
392,164,14,2,252.66,
393,165,23,2,546.79,0.15
394,165,42,4,437.46,
395,166,32,2,457.92,0.15
396,166,43,5,248.35,
397,166,60,3,361.47,0.2
398,166,33,2,661.69,0.15
399,167,16,3,456.47,0.05
400,167,14,2,281.16,0.1
401,168,8,3,197.85,0.15
402,168,33,4,624.25,
403,168,46,1,605.55,0.05
404,169,4,3,611.29,
405,169,7,4,201.14,0.05
406,170,34,3,742.15,
407,170,28,5,294.36,
408,170,50,2,362.93,0.0
409,171,37,1,62.49,0.2
410,171,52,4,69.13,0.2
411,171,39,1,157.83,0.0
412,171,37,5,69.23,0.2
413,172,39,1,161.36,0.1
414,173,6,3,521.8,0.15
415,174,46,4,536.98,
416,174,32,5,416.96,0.15
417,175,6,4,470.65,
418,175,40,5,675.59,0.0
419,175,37,1,65.98,0.1
420,176,26,1,786.34,0.05
421,176,38,3,205.47,0.05
422,177,14,5,290.95,0.05
423,177,26,2,749.84,0.1
424,177,19,4,400.23,
425,177,51,1,167.32,0.05
426,178,29,4,230.23,
427,178,7,3,218.4,0.05
428,178,11,4,144.86,0.15
429,179,40,4,632.72,0.1
430,179,31,2,180.95,
431,179,29,2,208.86,0.15
432,180,47,2,390.6,
433,181,30,1,97.08,0.15
434,181,11,5,137.06,0.2
435,182,49,2,308.47,
436,182,5,4,751.25,0.05
437,182,42,5,506.09,0.1
438,183,47,5,362.55,0.2
439,183,40,2,712.12,
440,183,55,3,531.45,0.0
441,183,46,1,586.96,
442,184,47,4,374.28,
443,184,6,4,541.14,
444,184,4,3,652.3,0.05
445,185,55,1,542.13,0.0
446,185,19,5,393.43,0.2
447,186,7,5,209.67,0.0
448,186,4,4,622.02,
449,186,58,1,117.02,0.05
450,187,25,5,381.56,0.2
451,187,10,2,660.17,0.15
452,187,18,3,604.77,0.1
453,188,41,1,39.22,0.2
454,188,2,5,45.77,0.1
455,188,34,3,807.36,0.0
456,189,57,4,273.56,
457,189,38,1,203.45,0.2
458,190,20,3,608.22,0.1
459,190,38,3,202.5,0.1
460,190,41,3,42.75,0.05
461,190,45,3,389.19,0.0
462,191,47,1,367.52,0.1
463,191,37,1,70.93,0.15
464,191,37,5,69.26,0.0
465,192,23,2,512.37,0.2
466,192,29,5,202.71,0.05
467,193,46,4,612.89,0.05
468,193,41,4,40.22,0.0
469,194,59,1,694.23,
470,194,53,3,291.66,0.1
471,194,14,1,281.04,0.05
472,194,47,3,370.66,0.15
473,195,35,4,495.9,0.0
474,195,44,4,787.21,0.0
475,195,10,5,613.88,0.15
476,196,39,5,148.8,0.15
477,197,33,4,635.96,0.15
478,197,53,1,331.32,0.15
479,197,20,5,569.93,0.1
480,197,1,2,708.51,0.05
481,198,32,5,418.68,0.0
482,198,42,3,492.2,0.15
483,198,37,2,68.18,0.0
484,198,47,4,355.63,0.2
485,199,2,1,41.79,
486,199,41,3,39.71,0.15
487,199,57,3,264.11,0.0
488,199,37,3,65.39,0.0
489,200,32,3,452.55,0.2
490,200,32,5,451.2,0.15
491,200,18,1,650.24,0.2
492,200,5,4,668.64,
493,201,29,5,220.54,0.05
494,201,1,2,675.1,
495,202,44,4,753.47,0.0
496,202,34,4,788.49,0.1
497,202,52,2,68.3,
498,203,42,1,473.87,0.05
499,203,2,1,44.39,0.0
500,203,43,4,226.26,0.0
501,204,2,1,44.71,0.15
502,204,54,1,264.28,0.1
503,204,58,2,109.46,0.2
504,204,22,4,541.37,0.0
505,205,57,1,272.76,0.1
506,205,51,2,179.22,0.15
507,205,51,1,176.7,0.05
508,206,16,1,469.74,0.1
509,207,28,3,304.39,0.15
510,207,20,2,542.51,0.2
511,207,13,4,22.63,0.0
512,208,15,5,155.84,0.1
513,208,14,5,265.25,0.0
514,208,36,2,572.75,0.0
515,209,29,3,225.19,0.05
516,210,38,2,198.03,0.2
517,210,31,1,190.99,
518,210,2,5,41.76,0.0
519,210,58,2,121.89,
520,211,48,2,493.48,0.0
521,211,53,2,289.76,0.2
522,211,9,1,28.95,0.0
523,212,21,4,661.55,0.05
524,212,24,2,263.05,0.15
525,213,7,4,195.57,0.15
526,213,8,5,187.4,0.05
527,213,7,3,199.17,0.1
528,214,39,3,163.96,0.05
529,215,27,1,722.2,0.1
530,215,12,5,120.2,
531,215,21,1,712.78,0.2
532,215,16,4,466.52,0.15
533,216,1,2,727.58,0.05
534,216,4,3,666.59,0.1
535,216,15,3,160.13,0.1
536,216,54,4,254.29,0.05
537,217,41,2,40.97,0.1
538,217,51,4,170.74,0.05
539,217,17,1,141.61,0.0
540,217,47,4,368.87,
541,218,31,1,198.29,0.05
542,218,14,2,273.41,0.0
543,218,57,4,275.47,0.0
544,218,52,2,72.48,0.2
545,219,51,1,175.39,0.15
546,219,2,2,46.46,0.05
547,219,42,2,506.96,0.05
548,219,27,3,652.09,
549,220,42,2,471.64,0.1
550,220,4,1,654.65,0.15
551,221,56,3,379.63,0.1
552,221,58,5,121.25,0.15
553,221,26,5,787.08,
554,221,15,3,161.26,0.1
555,222,47,4,353.29,0.05
556,222,56,2,390.13,0.2
557,223,48,3,526.23,0.0
558,223,54,5,275.05,0.0
559,223,23,4,549.18,0.0
560,224,29,5,215.52,0.1
561,224,40,2,717.14,0.2
562,224,13,5,21.17,0.2
563,224,32,1,457.49,0.15
564,225,37,2,66.04,0.1
565,225,14,5,260.42,0.2
566,225,48,3,479.84,0.1
567,225,57,3,265.26,0.1
568,226,54,3,280.23,0.2
569,226,26,3,767.34,0.05
570,227,55,2,509.07,0.1
571,227,10,4,598.43,0.05
572,227,20,2,613.87,0.0
573,228,33,3,676.85,0.15
574,228,11,5,155.08,0.0
575,228,7,1,210.76,0.15
576,228,49,5,280.84,0.15
577,229,45,5,351.47,0.1
578,229,47,3,393.4,0.05
579,229,52,2,70.12,0.15
580,229,15,2,157.96,0.1
581,230,51,4,176.86,0.15
582,231,49,3,290.21,0.15
583,231,2,3,46.16,0.05
584,231,14,5,263.61,0.05
585,231,32,5,453.54,0.05
586,232,28,5,291.63,0.1
587,232,18,5,637.36,0.05
588,233,34,1,817.07,0.2
589,233,23,1,496.37,0.15
590,233,14,5,270.16,0.2
591,234,10,3,609.81,0.05
592,234,5,3,689.07,0.05
593,234,34,2,738.21,0.05
594,235,54,4,260.16,0.1
595,235,58,5,107.0,0.0
596,235,38,5,199.8,
597,235,32,4,411.55,0.15
598,236,42,4,450.99,0.15
599,236,53,3,319.67,0.2
600,236,53,3,312.91,0.15
601,236,57,5,256.09,
602,237,18,5,631.08,
603,237,26,1,815.87,0.1
604,237,54,1,278.39,
605,237,48,3,504.73,0.15
606,238,24,1,260.44,0.15
607,239,40,1,683.41,0.1
608,239,3,1,557.41,0.1
609,240,20,3,533.03,0.15
610,240,19,2,388.58,
611,240,59,3,698.26,0.15
612,241,15,4,164.36,0.2
613,242,31,4,183.65,
614,242,20,4,551.91,
615,242,44,4,767.43,
616,242,3,4,510.64,
617,243,9,4,27.54,0.15
618,243,1,3,727.58,0.0
619,244,19,2,378.44,0.05
620,245,49,5,317.41,0.2
621,245,1,4,725.24,0.0
622,246,5,5,720.64,0.2
623,246,54,5,263.82,0.1
624,246,43,3,253.81,0.2
625,247,2,5,44.76,
626,247,20,3,608.71,0.05
627,247,14,3,267.42,
628,247,47,1,376.72,0.15
629,248,4,2,605.34,
630,248,6,1,526.77,0.05
631,248,54,1,248.02,
632,249,59,2,762.2,
633,249,37,2,68.91,
634,249,19,5,372.51,0.0
635,250,28,2,301.23,0.1
636,250,39,3,148.91,
637,251,15,4,152.54,0.2
638,251,28,3,269.77,0.15
639,252,59,5,754.19,0.2
640,253,3,1,563.35,
641,253,48,3,475.65,0.1
642,254,50,2,346.82,0.2
643,254,32,1,431.43,0.05
644,254,47,1,356.6,0.15
645,254,48,1,487.45,0.0
646,255,4,3,643.19,0.05
647,255,33,1,633.69,
648,256,34,1,793.01,
649,256,20,1,554.3,0.05
650,256,13,2,20.11,
651,256,32,4,423.42,0.0
652,257,16,4,457.13,
653,258,46,5,620.63,0.05
654,258,27,5,665.39,0.05
655,258,52,3,68.87,0.0
656,258,52,5,70.74,0.15
657,259,39,5,159.29,0.1
658,259,49,3,314.98,0.2
659,260,60,5,339.94,0.2
660,260,25,3,362.87,
661,261,7,2,200.43,
662,261,12,3,118.64,0.15
663,261,21,5,691.58,
664,261,12,3,127.08,
665,262,55,4,530.74,0.2
666,262,25,1,353.45,
667,262,8,5,191.03,0.05
668,262,14,1,278.32,0.05
669,263,12,3,127.17,0.2
670,263,10,1,626.29,0.0
671,264,36,1,562.58,
672,265,45,2,374.38,0.0
673,265,13,5,20.25,0.2
674,266,53,4,299.46,0.1
675,266,30,3,102.61,0.0
676,266,49,3,286.87,
677,267,58,1,106.05,0.2
678,267,8,2,194.54,0.05
679,268,30,2,97.45,0.0
680,268,21,1,663.95,0.05
681,268,41,3,39.71,0.0
682,269,46,3,573.08,0.15
683,269,41,4,43.15,
684,270,59,3,759.37,
685,270,18,3,625.6,0.0
686,271,35,1,497.14,
687,271,10,5,592.2,0.0
688,271,6,4,527.87,0.2
689,272,47,5,396.72,0.2
690,272,7,1,214.24,
691,272,22,2,579.01,
692,273,43,3,224.89,
693,274,10,3,634.98,0.2
694,274,21,4,662.54,0.05
695,274,20,4,550.27,0.05
696,275,25,5,331.99,0.05
697,276,26,4,778.29,0.15
698,276,58,1,111.37,0.05
699,277,2,1,42.08,0.1
700,277,41,5,40.97,0.0
701,278,37,5,69.93,0.05
702,278,26,5,756.27,0.0
703,278,19,1,387.79,
704,279,16,5,423.57,
705,280,42,3,498.48,0.15
706,280,38,4,193.75,0.2
707,280,47,3,397.44,0.1
708,280,14,1,283.54,
709,281,2,4,41.72,0.1
710,281,59,3,781.91,0.0
711,281,24,3,260.4,0.15
712,281,48,2,538.8,0.15
713,282,30,5,103.5,0.0
714,282,17,3,164.25,
715,283,16,5,446.69,0.1
716,283,25,4,361.97,0.05
717,283,4,1,672.63,0.15
718,283,2,5,41.08,0.15
719,284,32,2,434.67,
720,284,4,1,659.53,0.0
721,284,32,4,407.34,0.1
722,284,49,1,318.09,0.15
723,285,51,4,175.0,0.15
724,285,39,2,153.81,0.05
725,285,9,3,30.33,
726,286,43,2,235.85,0.15
727,286,17,5,154.75,0.15
728,286,33,1,649.27,
729,286,42,1,470.11,0.1
730,287,45,4,392.39,0.1
731,287,20,5,605.37,
732,288,21,4,660.48,0.0
733,288,16,5,475.54,0.1
734,288,23,5,544.96,0.0
735,289,14,2,257.27,0.2
736,289,15,4,167.27,0.05
737,289,26,2,746.25,0.2
738,290,43,5,223.32,
739,290,55,4,561.74,
740,290,7,2,213.83,
741,291,1,3,640.48,0.05
742,291,51,5,188.6,
743,292,20,5,551.4,0.0
744,292,48,3,496.54,0.15
745,293,50,2,338.13,0.1
746,294,20,4,585.12,0.1
747,295,14,3,258.48,0.0
748,296,47,5,383.45,0.05
749,297,44,3,697.8,0.0
750,297,9,2,27.33,0.1
751,298,21,4,725.79,0.05
752,298,32,3,433.69,0.05
753,299,36,4,589.98,
754,300,60,3,382.99,0.0
755,300,52,5,70.65,0.05
756,301,39,3,158.21,0.2
757,301,27,3,709.14,0.0
758,301,29,1,207.54,0.0
759,302,16,5,447.47,0.1
760,302,28,5,305.64,0.2
761,302,21,2,658.35,0.2
762,302,36,2,619.93,0.15
763,303,12,2,118.93,0.0
764,304,44,5,749.95,0.1
765,304,60,5,383.52,0.05
766,304,31,3,173.42,0.15
767,304,36,1,601.91,0.0
768,305,55,4,489.59,0.0
769,305,51,2,188.94,0.2
770,305,11,1,158.16,
771,306,34,4,748.4,
772,306,4,4,632.7,0.2
773,306,8,2,202.23,0.0
774,307,34,1,811.14,0.0
775,307,50,2,365.37,0.2
776,307,5,3,690.12,0.1
777,307,18,5,606.57,0.0
778,308,10,4,615.05,0.15
779,309,7,3,213.29,0.2
780,310,41,2,43.92,0.05
781,310,13,3,21.32,0.1
782,310,5,5,660.45,
783,310,27,4,721.58,
784,311,45,5,373.69,0.05
785,312,30,4,90.92,
786,312,21,5,675.63,
787,312,2,3,44.48,0.1
788,313,22,1,561.82,0.0
789,313,47,4,353.65,0.1
790,313,58,5,108.03,0.15
791,314,21,3,673.37,
792,314,18,3,639.74,0.2
793,314,56,4,377.58,0.15
794,315,7,3,199.64,0.1
795,315,58,5,113.11,0.2
796,315,1,2,708.46,0.1
797,316,55,1,518.35,0.0
798,317,15,4,161.3,0.15
799,317,18,1,611.95,0.15
800,318,6,2,479.17,0.2
801,318,6,5,490.13,0.1
802,318,32,4,457.5,
803,319,55,4,550.81,0.2
804,319,25,2,357.15,0.1
805,319,31,1,175.06,
806,320,16,5,447.71,0.15
807,320,29,2,207.79,0.05
808,321,48,1,543.99,0.1
809,321,51,2,187.16,0.15
810,321,50,5,364.06,
811,322,57,3,265.5,0.0
812,323,38,1,201.75,0.1
813,324,11,5,149.94,0.0
814,325,27,5,742.39,0.1
815,325,24,1,278.72,0.2
816,325,8,2,191.28,
817,325,36,1,633.16,
818,326,21,2,664.38,0.2
819,326,31,2,182.07,0.0
820,327,60,5,379.75,0.05
821,327,49,4,297.77,0.0
822,328,52,2,72.74,0.0
823,329,49,4,315.89,0.15
824,329,35,5,514.6,0.1
825,329,44,1,775.31,0.2
826,330,24,4,269.55,0.1
827,330,25,3,363.42,
828,330,39,4,168.77,0.05
829,330,53,2,301.98,0.2
830,331,39,2,152.91,0.1
831,331,12,1,125.93,0.05
832,331,36,5,599.63,0.1
833,332,21,4,742.59,0.0
834,332,40,1,710.56,0.0
835,333,13,1,21.52,0.05
836,333,47,5,357.35,
837,334,55,5,523.56,0.05
838,334,47,5,355.82,0.15
839,334,5,5,670.34,
840,335,48,2,538.84,0.05
841,335,15,1,156.37,
842,336,19,1,373.53,0.1
843,336,55,3,555.92,0.15
844,336,52,1,66.88,0.0
845,337,4,5,627.92,0.05
846,337,56,2,359.45,
847,337,60,2,349.21,0.1
848,338,55,3,543.27,0.0
849,338,16,3,484.69,
850,339,28,3,311.48,0.0
851,339,36,2,579.11,0.2
852,340,20,4,528.13,0.15
853,340,45,5,371.97,0.2
854,340,31,4,175.59,0.1
855,341,10,5,615.86,0.2
856,342,32,3,444.23,
857,342,42,4,504.1,
858,343,6,4,516.53,0.15
859,344,35,2,496.5,
860,344,6,5,503.57,0.2
861,344,13,3,22.91,0.05
862,345,4,2,660.52,0.0
863,345,48,3,494.95,
864,345,41,5,38.41,0.2
865,346,44,1,730.97,
866,346,34,3,829.94,0.1
867,346,11,2,144.78,0.0
868,347,13,1,22.15,0.05
869,347,47,1,378.8,
870,347,43,4,238.39,0.15
871,347,18,3,604.58,0.05
872,348,24,5,244.29,0.0
873,348,45,3,368.93,0.0
874,348,37,4,67.23,0.2
875,349,7,1,203.09,0.0
876,350,26,1,801.03,0.05
877,351,19,4,390.27,
878,351,36,2,595.27,0.05
879,351,12,5,131.93,0.1
880,351,60,4,376.87,
881,352,2,1,41.77,0.1
882,352,49,3,319.39,0.0
883,352,26,3,811.95,0.15
884,352,24,5,265.31,
885,353,24,3,241.93,0.0
886,353,54,3,265.19,
887,353,54,3,276.47,0.1
888,353,39,3,167.75,0.0
889,354,8,5,177.6,0.2
890,355,48,1,475.01,
891,356,49,1,291.79,0.2
892,356,32,2,452.14,0.0
893,357,58,3,110.77,0.1
894,358,20,2,559.65,0.05
895,358,40,5,697.39,0.2
896,358,24,1,240.17,
897,358,17,3,156.18,
898,359,45,3,358.88,
899,360,41,3,41.25,0.05
900,361,16,2,466.03,0.15
901,361,32,3,438.35,0.0
902,361,30,3,92.77,0.05
903,361,4,5,654.38,0.2
904,362,5,2,690.55,0.1
905,363,42,3,489.43,0.05
906,363,4,3,594.74,0.15
907,363,1,5,685.85,0.05
